uuid	name	profile	shapeSet
0009d336-e201-44ae-b47c-87768c17a6e6	obj_mininghub_dropoff_vacuum	Large Parts	survivalobject.shapeset
00284190-1484-4286-a198-b2ddef768c2e	jnt_suspensionoffroad_02	Medium Parts	interactive_upgradeable.shapeset
004bb5ee-34ba-484a-924b-31412d898e7e	obj_survivalobject_elevatordoor_left	Large Parts	survivalobject.shapeset
004da34b-7a9e-4962-b0c3-e48b514fb603	obj_castedpart_t3	Large Parts	castedpart.shapeset
007d6afc-59ef-4fb4-9bb7-52ab9bcfec22	obj_industrial_pallet	Large Parts	industrial.shapeset
008d3f17-3bef-439d-8111-13a8c35c8787	obj_moltenorb_t1	Large Parts	moltenorb.shapeset
011c1ffd-7146-4e8d-8c18-17247d768ae2	obj_spaceship_wall04	Large Parts	spaceship_survivalobject.shapeset
01d2298b-6cdb-4f4f-bd73-37c76cd60ca3	obj_fittings_ductlong	Small Parts	fittings.shapeset
0229f59d-1ba3-446a-8f9c-df8b0f816e51	obj_interactive_mountablespudgun_creative	Medium Parts	interactive.shapeset
027bd4ec-b16d-47d2-8756-e18dc2af3eb6	blk_spaceshipmetal	Blocks	blocks.shapeset
02e1af8e-090f-432f-9ad4-1bb41add0d4b	obj_rewards_carbackpanel	Quest / Special Items	rewards.shapeset
02ee2a98-bd8d-4a09-bb69-38edaf66b8e1	obj_harvest_stone	Resources	harvests_shared.shapeset
036f4af6-e45e-44b9-88a3-79c96194367c	obj_voxelmaterialchunk_t1_large	Resources	voxelmaterialchunk.shapeset
03ae13a9-65a9-4c2f-8640-8235a8d9ed05	obj_shoprewards_totebotblip_bobblehead	Quest / Special Items	shoprewards.shapeset
03bdd942-c808-4795-aa0b-554fa98c3c74	obj_interactive_boombox	Large Parts	interactive_shared.shapeset
04680945-5bb7-4a8a-9246-24c6c2b977d1	obj_warehouse_beambigsplit	Small Parts	warehouse.shapeset
04733746-4090-4d63-aff1-47dafae506fd	obj_warehouse_bigrampthinsmall	Wedges	warehouse.shapeset
04782466-eca1-4ed9-8502-036ea269aed9	obj_fittings_pipevalve	Small Parts	fittings.shapeset
05170ad2-4d8a-48c1-9cd6-9be870e8af42	obj_survivalobject_topdepcardreader	Large Parts	survivalobject.shapeset
0535b90e-f0a8-491c-8c70-1fc81b939fb4	obj_fittings_wire	Medium Parts	fittings.shapeset
0539121b-9588-4c64-bdd0-25b0a29b081a	obj_harvests_trees_pine03_p08	Resources	harvests_trees.shapeset
05452112-f653-48b6-97ba-8c4e2c9eb04a	bq_cozybed_01	Small Parts	builderguide.shapeset
056e5ff1-f030-40df-946a-b830bf494c92	obj_container_gas	Medium Parts	interactive_containers_shared.shapeset
05900757-a49f-4907-b498-96bfd2b15176	obj_craftbot_portablecraftbot	Medium Parts	craftbot_creative.shapeset
05a3e48b-0483-4897-b1e3-370271f815ed	obj_resource_drillcasingmixedrich	Resources	resource.shapeset
05c81c17-3780-4edb-80a4-1648c25ca460	obj_harvests_trees_pine03_p09	Resources	harvests_trees.shapeset
05f3a5a4-532a-4642-b648-e0dd60ce9f4d	obj_interactive_turretseat_02_sphere	Large Parts	interactive_shared.shapeset
0603b36e-0bdb-4828-b90c-ff19abcdfe34	blk_bricks	Blocks	blocks.shapeset
061b5d4b-0a6a-4212-b0ae-9e9681f1cbfb	blk_wood3	Blocks	blocks.shapeset
0637b64b-b6aa-49b9-9d20-72d565b42ed8	0637b64b-b6aa-49b9-9d20-72d565b42ed8	Small Parts	effect_proxies.shapeset
068a89ca-504e-4782-9ede-48f710aeea73	obj_decor_sign05	Medium Parts	decor.shapeset
06c564e2-ca8d-4843-94e9-322cb835f59e	obj_harvests_trees_birch02_p04	Resources	harvests_trees.shapeset
06fd0e52-f791-43a6-9fbd-5a8a6260f3f2	obj_fittings_7x8_glass	Large Parts	fittings.shapeset
07232236-22eb-4912-8774-ab185f368bb9	obj_fittings_pipelong	Medium Parts	fittings.shapeset
073f92af-f37e-4aff-96b3-d66284d5081c	blk_lights	Blocks	blocks.shapeset
079b7a15-7718-444b-8560-7717109dabff	obj_harvests_trees_birch03_p06	Resources	harvests_trees.shapeset
080ef1dd-07a7-4d31-86b8-ac907e1468bf	obj_decor_poster02	Large Parts	decor.shapeset
0861357a-79bd-44ac-8e8f-45c7f289875d	obj_survivalobject_doorsensor	Large Parts	survivalobject.shapeset
08918d4d-29e6-427d-ad8c-1eafcc4af1f9	obj_fittings_pipebigsplit	Medium Parts	fittings.shapeset
094ceb5a-995b-431f-87f4-aac091494ae4	obj_construction_wallfondation	Large Parts	construction.shapeset
096a0416-4e3d-4e0b-8caf-c47f2739d8e2	obj_voxelmaterialchunk_rich2_small	Resources	voxelmaterialchunk.shapeset
096d4daf-639e-4947-a1a6-1890eaa94464	obj_container_ammo	Medium Parts	interactive_containers_shared.shapeset
099bbf9a-6766-4e39-bd12-90d8b81771af	blk_ice	Blocks	blocks.shapeset
09ca2713-28ee-4119-9622-e85490034758	blk_caution	Blocks	blocks.shapeset
0a0cc4ee-bdd7-41b1-b5cb-f34a0e6de46e	obj_interactive_sawtable1	Large Parts	craftbot_creative.shapeset
0a2544c9-902d-42e2-91af-f35dad9c5d0e	obj_harvests_trees_birch03_p01	Resources	harvests_trees.shapeset
0a597f6d-eb45-4f93-91e5-130e19e0f1f5	obj_industrial_metalgrid	Medium Parts	industrial.shapeset
0b114031-5065-4365-922d-3980d791e00d	obj_harvest_stonechunk01	Resources	harvests_stones.shapeset
0b423e11-50dd-4272-92a2-506f42c992d4	obj_harvests_trees_birch03_p04	Resources	harvests_trees.shapeset
